"Technology","Project Name","Site Name","Operational Capacity (MW)"
"Wind Onshore","Abernethy Trust","Abernethy Trust",0.012
"Wind Onshore","Achlachan","Achlachan",10.25
"Wind Onshore","Afton Wind Farm","Afton Wind Farm",50
"Wind Onshore","Aftonlea","Aftonlea",0.9
"Wind Onshore","Aikengall II, Wester Dod Community Wind Farm","Aikengall II Windfarm",60.8
"Wind Onshore","Aikengall Windfarm","Aikengall Windfarm",48
"Wind Onshore","Allt Dearg Wind Farmers LLP","Allt Dearg Wind Farmers LLP",10
"Wind Onshore","An Talla","An Talla",0.006
"Wind Onshore","Ardgrain Wind Cluster","Ardgrain Wind Cluster",2.4
"Wind Onshore","Ark Hill","Ark Hill",6.48
"Wind Onshore","Auchadaduie Wind Farm","Auchadaduie Wind Farm",7.05
"Wind Onshore","Baird Memorial Primary School","Baird Memorial Primary School",0.006
"Wind Onshore","Balnamoon","Balnamoon",0.9
"Wind Onshore","Bankend Rig","Bankend Rig",14.3
"Wind Onshore","Banks Renewables Ltd","Kype Muir Wind Farm",88.4
"Wind Onshore","Banks Renewables Ltd","Middle Muir Wind Farm",51
"Wind Onshore","Barns of Ayre","Barns of Ayre",2.73
"Wind Onshore","Beinn Ghrideag wind farm","Beinn Ghrideag wind farm",9.06
"Wind Onshore","Beinn nan Oighrean Windfarm","Beinn nan Oighrean Windfarm",4.6
"Wind Onshore","BERRIEDALE","BERRIEDALE",0.03225
"Wind Onshore","Berriedale Farm","Berriedale Farm",0.022
"Wind Onshore","Binn Eco Park","Binn Eco Park",9.2
"Wind Onshore","Black Hill Wind Ltd","Black Hill Wind Farm",28.6
"Wind Onshore","Boulfruich Wind Farm - A,C","Boulfruich Wind Farm - A,C",12.75
"Wind Onshore","BRAIDENHILL","BRAIDENHILL",0.8
"Wind Onshore","Brotherton (formerly Paul Matthew Hill wind turbines)","Brotherton Wind Farm",4.6
"Wind Onshore","BROWNIELEYS - 3 WIND TURBINES","BROWNIELEYS - 3 WIND TURBINES",7.5
"Wind Onshore","Burgar Hill Renewables Ltd","Burgar Hill Renewables 1",2.3
"Wind Onshore","Burnbrae Farm (Strathaven)","Burnbrae Farm (Strathaven)",0.9
"Wind Onshore","Burnfoot East","Burnfoot East",10.8
"Wind Onshore","Burradale Wind Farm","Burradale Wind Farm",1.98
"Wind Onshore","Burradale Wind Farm 2","Burradale Wind Farm 2",1.7
"Wind Onshore","Cairnhill Windfarm","Cairnhill Windfarm",2.4
"Wind Onshore","Cairnmore","Cairnmore",2.55
"Wind Onshore","Calder Water Windfarm","Calder Water Community Wind Farm",32.2
"Wind Onshore","Clear Skies-S","Clear Skies-S",11.44613
"Wind Onshore","Clentrie Wind Farm (Gevens)","Clentrie Wind Farm (Gevens)",6.9
"Wind Onshore","Clochnahill Wind Farm","Clochnahill Wind Farm",5.2
"Wind Onshore","Coire Na Cloiche","Coire Na Cloiche",29.9
"Wind Onshore","Courtstone Wind Turbine","Courtstone Wind Turbine",2.3
"Wind Onshore","Crossdykes (Community Share)","Crossdykes (Community Share)",48
"Wind Onshore","Cumbernauld Primary School","Cumbernauld Primary School",0.006
"Wind Onshore","Cypex Ltd","Cypex Ltd",0.08
"Wind Onshore","Denhill","Denhill Wind Turbine",2.3
"Wind Onshore","Deuchries","Deuchries",6.9
"Wind Onshore","Discover Carmichael Visitor Centre","Carmichael Village",0.05
"Wind Onshore","Douglas West & Dalquhandy","Douglas West & Dalquhandy",46.8
"Wind Onshore","Drumduff Wind Farm","Drumduff Wind Farm",8.53
"Wind Onshore","DUNMAGLASS ESTATE WIND TURBINE","DUNMAGLASS ESTATE WIND TURBINE",0.6
"Wind Onshore","Earthship Fife","Earthship Fife",6e-04
"Wind Onshore","Ecotricity Ltd","Dundee Merchant Wind Park Limited",4
"Wind Onshore","Ecotricity Ltd","East Kilbride Wind Turbine",0.6
"Wind Onshore","EDF Energy Renewables Ltd","Burnfoot",30.1
"Wind Onshore","EDF Energy Renewables Ltd","Burnhead Moss",26
"Wind Onshore","EDF Energy Renewables Ltd","Corriemoillie",48.45
"Wind Onshore","EDF Energy Renewables Ltd","Dorenell Wind Farm (Previously Site A and B Scaut Hill)",177
"Wind Onshore","EDF Energy Renewables Ltd","Fallago Rig",144
"Wind Onshore","EDF Energy Renewables Ltd","Longpark Wind Farm",38
"Wind Onshore","EDF Energy Renewables Ltd","Pearie Law Wind Farm",19.2
"Wind Onshore","EDF Energy Renewables Ltd","Rhodders",12.3
"Wind Onshore","Edintore Wind Farm","Edintore Wind Farm (Operational Q4)",14.1
"Wind Onshore","ELLON TURBINE","ELLON",0.015
"Wind Onshore","Emly Bank RO","Emly Bank RO",15
"Wind Onshore","Eneco Wind UK Ltd","Burn of Whilk",22.5
"Wind Onshore","Eneco Wind UK Ltd","Easter Tulloch Wind Farm (Tullo Twinshiels Extension)",25
"Wind Onshore","Eneco Wind UK Ltd","Lochluichart Windfarm",69
"Wind Onshore","Eneco Wind UK Ltd","Moy Wind Farm",60
"Wind Onshore","Eneco Wind UK Ltd","Tullo Wind Farm Limited",17
"Wind Onshore","FAIR ISLE WIND TURBINE(1)","FAIR ISLE WIND TURBINE",0.16
"Wind Onshore","Falck Renewables Wind Ltd","Assel Valley Wind Farm (Operational Q4)",25
"Wind Onshore","Falck Renewables Wind Ltd","Auchrobert Wind Farm",36
"Wind Onshore","Falck Renewables Wind Ltd","Ben Aketil Wind Farm",27.6
"Wind Onshore","Falck Renewables Wind Ltd","Boyndie",14
"Wind Onshore","Falck Renewables Wind Ltd","Boyndie Airfield Extension",2.3
"Wind Onshore","Falck Renewables Wind Ltd","Earlsburn Wind Farm",35
"Wind Onshore","Falck Renewables Wind Ltd","Kilbraur Wind Farm",67.5
"Wind Onshore","Falck Renewables Wind Ltd","Kingsburn Wind Farm",22.5
"Wind Onshore","Falck Renewables Wind Ltd","Millennium Wind Farm",65
"Wind Onshore","Falck Renewables Wind Ltd","Nutberry Wind Farm",15
"Wind Onshore","Falck Renewables Wind Ltd","West Browncastle Wind Farm",30
"Wind Onshore","Falkirk Tod Hill Wind Farm","Tod Hill Farm Wind Turbines",11.4
"Wind Onshore","Fife Council","Fife Council",0.0075
"Wind Onshore","FIT-Wind S","FIT-Wind S",316.30122
"Wind Onshore","Flotta Wind Farm","Flotta Wind Farm",2
"Wind Onshore","Fred Olsen Renewables Ltd","Brockloch Rig (Windy Standard 3)",61.5
"Wind Onshore","Fred Olsen Renewables Ltd","Crystal Rig II Wind Farm",138
"Wind Onshore","Fred Olsen Renewables Ltd","Crystal Rig III Windfarm",13.8
"Wind Onshore","Fred Olsen Renewables Ltd","Crystal Rig Windfarm",62.5
"Wind Onshore","Fred Olsen Renewables Ltd","Gallow Rig Windfarm (Windy Standard aka Brockloch Rig 1)",10.8
"Wind Onshore","Fred Olsen Renewables Ltd","Mid Hill, Fetteresso",75.9
"Wind Onshore","Fred Olsen Renewables Ltd","Paul's Hill Wind Farm",64.4
"Wind Onshore","Fred Olsen Renewables Ltd","Polwhat Rig Windfarm (Windy Standard aka Brockloch Rig 1)",10.8
"Wind Onshore","Fred Olsen Renewables Ltd","Rothes Wind Ltd",50.6
"Wind Onshore","Fred Olsen Renewables Ltd","Rothes2 Wind Farm",41.4
"Wind Onshore","Gairnieston Wind Cluster","Gairnieston Wind Cluster",2.3
"Wind Onshore","Gatehouse Development Initiative Ltd","Gatehouse Development Initiative Ltd",0.03
"Wind Onshore","Gevens","Gevens",6.9
"Wind Onshore","Gigha Windmills","Gigha Windmills",0.675
"Wind Onshore","GlaxoSmithKline Wind Project","Irvine GSK Wind Turbines",5
"Wind Onshore","Glen App","Glen App",22
"Wind Onshore","Glenurquhart and Strathglass Wind Farm project","Corrimony Wind Farm",9.95
"Wind Onshore","Greencoat Solar I LLP","Bogenlea Farm",2.31
"Wind Onshore","Greencoat UK Wind Plc","Braes of Doune Windfarm (Scotland) Ltd",72
"Wind Onshore","Greencoat UK Wind Plc","Carcant Windfarm",6
"Wind Onshore","Greencoat UK Wind Plc","Corriegarth",69.5
"Wind Onshore","Greencoat UK Wind Plc","Drone Hill",28.6
"Wind Onshore","Greencoat UK Wind Plc","Kildrummy Windfarm",18.4
"Wind Onshore","Greencoat UK Wind Plc","Langhope Rig Wind Farm",16.4
"Wind Onshore","Greencoat UK Wind Plc","Stroupster1",29.9
"Wind Onshore","Greencoat UK Wind Plc","Tom Nan Clach",39.1
"Wind Onshore","Greencoat UK Wind Plc","Wind Energy (North Rhins) Limited",22
"Wind Onshore","Greenhill Croft Tubine 2","Greenhill Croft Tubine 2",2.3
"Wind Onshore","Greenhill Wind Turbine","Greenhill Wind Turbine",2.3
"Wind Onshore","Gremista Wind Farm (Luggies Knowe)","Gremista Wind Farm (Luggies Knowe)",3
"Wind Onshore","GWEL Operating Company Ltd","Land at Overside and Greenwellheads Farms",9.24
"Wind Onshore","Haddo","Haddo",4.6
"Wind Onshore","Hammars Hill","Hammars Hill",4.5
"Wind Onshore","Harburnhead Wind Farm","Harburnhead Wind Farm",51.7
"Wind Onshore","Harthill Wind Farm","Harthill Wind Farm",5.7
"Wind Onshore","Hill of Balquhindachy Wind Turbine","Hill of Balquhindachy Wind Turbine",2.55
"Wind Onshore","Hill of Glaschyle Wind Farm","Hill of Glaschyle Wind Farm",27.6
"Wind Onshore","Hill of Skilmafilly Cloffrickford (Denmore) Wind Farm","Hill of Skilmafilly Cloffrickford (Denmore) Wind Farm",6.93
"Wind Onshore","Hill of Tillymorgan (Kirkton Farm) Wind turbines (resubmission)","Hill of Tillymorgan (Kirkton Farm) Wind turbines (resubmission)",9.6
"Wind Onshore","Hoprigshiels Community Wind Farm","Hoprigshiels Community Wind Farm",6.9
"Wind Onshore","House o'Hill","House o'Hill",2.4
"Wind Onshore","INGANESS BAY WIND TURBINE","INGANESS BAY WIND TURBINE",0.075
"Wind Onshore","Inverclyde (Greenock Resubmission)","Inverclyde (Greenock Resubmission)",24
"Wind Onshore","ISLAND OF FOULA TURBINE","ISLAND OF FOULA",0.06
"Wind Onshore","Jacksbank Wind Farm (Glenbervie)","Jacksbank Wind Farm (Glenbervie)",6.93
"Wind Onshore","John Laing Environmental Assets Group","Carscreugh Renewable Energy Park",15.3
"Wind Onshore","John Laing Environmental Assets Group","Dungavel",26
"Wind Onshore","Keith Hill (resubmission)","Keith Hill (resubmission)",4.5
"Wind Onshore","Kentish Flats Ltd","Clashindarroch Wind Farm",36.9
"Wind Onshore","Kentish Flats Ltd","Edinbane Wind Farm",41.4
"Wind Onshore","Kilmory Primary School","Kilmory Primary School",0.006
"Wind Onshore","Kincardine Phase 2","Kincardine Phase 2",48
"Wind Onshore","Kinegar Quarry (resubmission)","Kinegar Quarry (resubmission)",5
"Wind Onshore","Lanakshire","Lanakshire",0.05
"Wind Onshore","Liniclate B","Liniclate B",0.9
"Wind Onshore","Lochcarnan Community Wind Farm","Lochcarnan Community Wind Farm",6.93
"Wind Onshore","Lochend Wind Farm","Lochend Wind Farm",9.2
"Wind Onshore","Locheport Community Windfarm (Resubmission)","Locheport Community Windfarm (Resubmission)",1.8
"Wind Onshore","Lower Rumster","Lower Rumster",0.2
"Wind Onshore","Mackies Hill of Easterton Wind Turbine","Mackies Hill of Easterton Wind Turbine",2.55
"Wind Onshore","Methil Docks Wind Turbine","Methil Docks Wind Turbine",0.75
"Wind Onshore","Millour Hill Community Windfarm (Re-submission)","Millour Hill Community Windfarm (Re-submission)",24
"Wind Onshore","Milton of Fisherie Wind Cluster","Milton of Fisherie Wind Cluster",4.6
"Wind Onshore","Moya (Findhorn Wind Park)","Moya (Findhorn Wind Park)",0.675
"Wind Onshore","Muirhall Extension","Muirhall Extension",6.4
"Wind Onshore","Muirhall WF Extension 1 LTD","Muirhall WF Extension 1 LTD",8.25
"Wind Onshore","Myres Hill","Myres Hill",1.9
"Wind Onshore","National Sports Centre Wind Project","National Sports Centre Wind Project",0.018
"Wind Onshore","Ness Sports and Recreation Association","Ness Sports and Recreation Association",0.012
"Wind Onshore","Nether Fauldhouse Farm","Nether Fauldhouse Farm",0.5
"Wind Onshore","North Highland College, Thurso","North Highland College, Thurso",0.0025
"Wind Onshore","Northfield Wind Energy Project (Burray, Orkney)","Northfield Wind Energy Project Burray",0.85
"Wind Onshore","Pates Hill","Pates Hill",14
"Wind Onshore","Pitkinnie Wind Turbine (Forsyth)","Pitkinnie Wind Turbine (Forsyth)",0.225
"Wind Onshore","Port Charlotte Community Centre Renewables","Port Charlotte Community Centre Renewables",0.006
"Wind Onshore","Quixwood Moor","Quixwood Moor",29.9
"Wind Onshore","Redbog","Redbog",1.6
"Wind Onshore","REG Windpower Ltd","Glens of Foudland Wind Farm",26
"Wind Onshore","REG Windpower Ltd","Tormywheel Wind Farm Limited",30.75
"Wind Onshore","Renewable Energy Systems Ltd","Earlseat Wind Farm, Kirkcaldy",16
"Wind Onshore","Renewable Energy Systems Ltd","Forss Wind Farm Phase 2",5.2
"Wind Onshore","Renewable Energy Systems Ltd","Forss/Hill of Lybster Wind Farm (SRO)",2
"Wind Onshore","Renewable Energy Systems Ltd","Freasdail Wind Farm",22.5
"Wind Onshore","Renewable Energy Systems Ltd","Glenchamber - GP",25.3
"Wind Onshore","Renewable Energy Systems Ltd","Hill of Towie (Drummuir)",48.3
"Wind Onshore","Renewable Energy Systems Ltd","Kelburn",28
"Wind Onshore","Renewable Energy Systems Ltd","Meikle Carewe Wind Farm",10.2
"Wind Onshore","Renewable Energy Systems Ltd","Minnygap Wind Farm",25
"Wind Onshore","Renewable Energy Systems Ltd","Neilston Community Wind Farm",10
"Wind Onshore","Renewable Energy Systems Ltd","Penmanshiel-GP",28.7
"Wind Onshore","Renewable Energy Systems Ltd (OI)","Beinneun",108.8
"Wind Onshore","Renewable Energy Systems Ltd (OI)","Cour Wind Farm",20.5
"Wind Onshore","Renewable Energy Systems Ltd (OI)","Hillhead of Auquhirie, Resubmission",6.9
"Wind Onshore","Renewable Energy Systems Ltd (TRIG)","Little Raith Farm",24.8
"Wind Onshore","ROTHIEN","ROTHIEN",0.06
"Wind Onshore","RWE Npower Renewables Ltd","An Suidhe",19.3
"Wind Onshore","RWE Npower Renewables Ltd","Bad a Cheo",26.65
"Wind Onshore","RWE Npower Renewables Ltd","Bilbster Wind Farm",3.9
"Wind Onshore","RWE Npower Renewables Ltd","Burgar Hill Wind Farm",5
"Wind Onshore","RWE Npower Renewables Ltd","Lochelbank Wind Farm II",9.6
"Wind Onshore","RWE Npower Renewables Ltd","Novar II Wind Farm",36.8
"Wind Onshore","RWE Renewables UK Ltd","Camster Wind Farm",50
"Wind Onshore","RWE Renewables UK Ltd","Deucheran Hill",15.8
"Wind Onshore","RWE Renewables UK Ltd","Emly Bank (Bowbeat)",15.6
"Wind Onshore","RWE Renewables UK Ltd","Rosehall Hill Forest Windfarm",24.7
"Wind Onshore","RWE Renewables UK Ltd","Roughside Hill (Bowbeat)",15.6
"Wind Onshore","Sanquhar Community Windfarm","Sanquhar Community Windfarm",31
"Wind Onshore","Scalloway, Shetland","Scalloway, Shetland",0.02365
"Wind Onshore","SCHRI Household turbines","SCHRI Household turbines",0.0899
"Wind Onshore","Scotia Wind (Craigengelt) Ltd","Barlockhart Moor Wind Energy Limited",8.2
"Wind Onshore","Scotia Wind (Craigengelt) Ltd","Blantyre Muir Wind Energy Ltd",12.3
"Wind Onshore","Scotia Wind (Craigengelt) Ltd","Cairnborrow - resubmission",10.25
"Wind Onshore","Scotia Wind (Craigengelt) Ltd","Craigengelt (Scotia Wind Farm)",20
"Wind Onshore","Scottish & Southern Energy plc","Achany Windfarm",38
"Wind Onshore","Scottish & Southern Energy plc","Artfield Fell Windfarm - A,C",28.6
"Wind Onshore","Scottish & Southern Energy plc","Bhlaraidh Wind Farm",108
"Wind Onshore","Scottish & Southern Energy plc","Cathkin Braes Wind Farm (Castlemilk)",3
"Wind Onshore","Scottish & Southern Energy plc","Clyde Windfarm (Central)",195.9
"Wind Onshore","Scottish & Southern Energy plc","Clyde Windfarm (North)",197.7
"Wind Onshore","Scottish & Southern Energy plc","Clyde Windfarm (South)",128.8
"Wind Onshore","Scottish & Southern Energy plc","Drumderg Windfarm",32
"Wind Onshore","Scottish & Southern Energy plc","Dunmaglass Wind Farm",94.05
"Wind Onshore","Scottish & Southern Energy plc","Fairburn Windfarm",40
"Wind Onshore","Scottish & Southern Energy plc","Gordonbush",70
"Wind Onshore","Scottish & Southern Energy plc","Gordonbush Ext",38
"Wind Onshore","Scottish & Southern Energy plc","Griffin Wind Farm",188.6
"Wind Onshore","Scottish & Southern Energy plc","Hadyard Hill Windfarm",99.9
"Wind Onshore","Scottish & Southern Energy plc","National Offshore Wind Turbine Test Facility (NOWTTF) - aka Hunterston",6
"Wind Onshore","Scottish & Southern Energy plc","Spurness Windfarm (Repower)",10
"Wind Onshore","Scottish & Southern Energy plc","Strathy North",67.6
"Wind Onshore","Scottish & Southern Energy plc","Stronelairg Wind Farm",227.8
"Wind Onshore","Scottish & Southern Energy plc","Tangy Wind Farm (incl extension)",18.7
"Wind Onshore","Scottish & Southern Energy plc","Toddleburn Windfarm",27.6
"Wind Onshore","Scottish Power Renewables UK Ltd","Arecleoch",120
"Wind Onshore","Scottish Power Renewables UK Ltd","Beinn An Tuirc 1",14.85
"Wind Onshore","Scottish Power Renewables UK Ltd","Beinn An Tuirc 1 (Cnoc Donn Arnicle)",14.85
"Wind Onshore","Scottish Power Renewables UK Ltd","Beinn an Tuirc 2",43.7
"Wind Onshore","Scottish Power Renewables UK Ltd","Beinn an Tuirc III",49.95
"Wind Onshore","Scottish Power Renewables UK Ltd","Beinn Tharsuin Wind Farm",29.75
"Wind Onshore","Scottish Power Renewables UK Ltd","Black Law II (Black Law Extension - 1a and 1b)",63.43
"Wind Onshore","Scottish Power Renewables UK Ltd","Black Law Windfarm - A,C",124.2
"Wind Onshore","Scottish Power Renewables UK Ltd","Clachan Flats",15.03
"Wind Onshore","Scottish Power Renewables UK Ltd","Cruach Mhor Windfarm",29.75
"Wind Onshore","Scottish Power Renewables UK Ltd","Dersalloch",69
"Wind Onshore","Scottish Power Renewables UK Ltd","Dun Law 1",17.16
"Wind Onshore","Scottish Power Renewables UK Ltd","Dun Law 2",29.75
"Wind Onshore","Scottish Power Renewables UK Ltd","Ewe Hill",13.8
"Wind Onshore","Scottish Power Renewables UK Ltd","Ewe Hill II",36.8
"Wind Onshore","Scottish Power Renewables UK Ltd","Glenapp",22
"Wind Onshore","Scottish Power Renewables UK Ltd","Green Knowes Windfarm",27
"Wind Onshore","Scottish Power Renewables UK Ltd","Hagshaw Hill 1",15.6
"Wind Onshore","Scottish Power Renewables UK Ltd","Hagshaw Hill 2",26
"Wind Onshore","Scottish Power Renewables UK Ltd","Halsary",30
"Wind Onshore","Scottish Power Renewables UK Ltd","Hare Hill (scotland)",13.2
"Wind Onshore","Scottish Power Renewables UK Ltd","Hare Hill 2 (Scotland)",29.75
"Wind Onshore","Scottish Power Renewables UK Ltd","Harestanes Windfarm",136
"Wind Onshore","Scottish Power Renewables UK Ltd","Kilgallioch",239
"Wind Onshore","Scottish Power Renewables UK Ltd","Mark Hill Windfarm",56
"Wind Onshore","Scottish Power Renewables UK Ltd","Middleton Windfarm",12
"Wind Onshore","Scottish Power Renewables UK Ltd","Wether Hill Wind Farm",18.2
"Wind Onshore","Scottish Power Renewables UK Ltd","Whitelee Windfarm",322
"Wind Onshore","Scottish Power Renewables UK Ltd","Whitelee Windfarm Extension phase 2",217.02
"Wind Onshore","SHETLAND TURBINE","SUSETTER HILL,",0.075
"Wind Onshore","Skelmonae Windfarm Ltd","Skelmonae Windfarm Ltd",3.2
"Wind Onshore","Solwaybank (Resubmission)","Solwaybank (Resubmission)",30
"Wind Onshore","Srondoire Community Wind Farm","Srondoire Community Wind Farm",6
"Wind Onshore","St Fergus Moss Wind Farm","St Fergus Moss Wind Farm",6
"Wind Onshore","St John's Wells Wind Farm","St John's Wells Wind Farm",2.4
"Wind Onshore","St John Bosco Primary School","St John Bosco Primary School",0.0025
"Wind Onshore","St. Johns Hill","St. Johns Hill",7.65
"Wind Onshore","Statkraft Wind UK Ltd","Andershaw",35
"Wind Onshore","Statkraft Wind UK Ltd","Baillie Wind Farm",53
"Wind Onshore","Statkraft Wind UK Ltd","Berry Burn Wind Farm",67
"Wind Onshore","Swift turbines installations - Scotland","Swift turbines installations - Scotland",0.0570575867317643
"Wind Onshore","Teeny Turbs, Scotland","11,996 turbines across UK See also RESTATS Refs 60082, 60083, 60084 (100watt each) from Marlec, Ampair, Aerogen/LVM",1.19
"Wind Onshore","Temporis Capital Ltd","Achairn Energy",6
"Wind Onshore","Temporis Capital Ltd","Blackcraig",52.14
"Wind Onshore","Temporis Capital Ltd","Craig Wind Farm",8
"Wind Onshore","Temporis Capital Ltd","Craig Wind Farm 2",4.614
"Wind Onshore","Temporis Capital Ltd","Green Dykeside Windfarm",4
"Wind Onshore","Temporis Capital Ltd","Lochhead Wind Farm",6
"Wind Onshore","Temporis Capital Ltd","Muirhall Wind Farm Limited",12
"Wind Onshore","Temporis Capital Ltd","Tullymurdoch Wind Farm",14.35
"Wind Onshore","The Bays of Harris Charitable Trust (BoHCT)","The Bays of Harris Charitable Trust (BoHCT)",0.006
"Wind Onshore","The Carraig Gheal Wind Farm","The Carraig Gheal Wind Farm",46
"Wind Onshore","Thorfinn Wind 'A' Ltd","Burgar Hill NM1500 Thorfinn Wind Energy Project",1.5
"Wind Onshore","Thorfinn Wind 'A' Ltd","Burgar Hill NM2000 Thorfinn Wind Energy Project",2.3
"Wind Onshore","Torrance Farm","Torrance Farm",9
"Wind Onshore","Torrance Farm Wind Park Extension","Torrance Farm Wind Park Extension",5.7
"Wind Onshore","Tralorg","Tralorg",18.8
"Wind Onshore","Triodos Renewables Ltd","Burgar Hill Sigurd wind turbine (Hainsford Energy)",1.3
"Wind Onshore","Ventient Energy Services Ltd","A'Cruach",42.6
"Wind Onshore","Ventient Energy Services Ltd","Ardrossan Windfarm (Scotland) Ltd - A",30
"Wind Onshore","Ventient Energy Services Ltd","Beinn Ghlas Windfarm",8.4
"Wind Onshore","Ventient Energy Services Ltd","Bendealt (Novar)",9
"Wind Onshore","Ventient Energy Services Ltd","Causeymire Wind Farm",48.3
"Wind Onshore","Ventient Energy Services Ltd","Dalswinton Windfarm (Scotland) Limted",30
"Wind Onshore","Ventient Energy Services Ltd","Farr Wind farm",92
"Wind Onshore","Ventient Energy Services Ltd","Galawhistle",55
"Wind Onshore","Ventient Energy Services Ltd","Glenkerie Wind Farm",22
"Wind Onshore","Ventient Energy Services Ltd","Gordonstown Wind Farm",12.5
"Wind Onshore","Ventient Energy Services Ltd","Hill of Fiddes Wind Farm",6.9
"Wind Onshore","Ventient Energy Services Ltd","Meall an Tuirc (Novar)",8
"Wind Onshore","Ventient Energy Services Ltd","Minsca Windfarm (Scotland) Limited",36.8
"Wind Onshore","Ventient Energy Services Ltd","Westfield",10
"Wind Onshore","Wardlaw Wood","Wardlaw Wood",18
"Wind Onshore","Wathegar 2 Wind Farm","Wathegar 2 Wind Farm",18.45
"Wind Onshore","Wathegar wind farm","Wathegar wind farm",10.25
"Wind Onshore","Welton Of Creuchies","Welton Of Creuchies",9.2
"Wind Onshore","West Knock Wind Cluster","West Knock Wind Cluster",2.4
"Wind Onshore","Westerglen Farm","Westerglen Farm",0.9
"Wind Onshore","Westertown","Westertown",0.06
"Wind Onshore","Westray Development Trsut","Westray Development Trsut",0.0025
"Wind Onshore","Westray Kirk Wind Turbine","Westray Kirk Wind Turbine",0.006
"Wind Onshore","WHITERASHES","WHITERASHES AB21 0QU",0.06
"Wind Onshore","Whiteside Hill","Whiteside Hill",27
"Wind Onshore","Wind Prospect","Pentland Road Wind Farm",13.8
"Wind Onshore","Windsave installations - Scotland","Windsave installations - Scotland",0.0897706031246425
"Wind Onshore","Windy Rig Wind Farm","Windy Rig Wind Farm",43
"Wind Onshore","Woodlands Farm Wind Turbines","Woodlands Farm Wind Turbines",1.4
"Wind Onshore","WPO UK Services Ltd","Airies",39.9
"Wind Onshore","WPO UK Services Ltd","AOE Windfarm",11.5
"Wind Onshore","WPO UK Services Ltd","Arnish Moor Windfarm",3.9
"Wind Onshore","WPO UK Services Ltd","Betty Hill - Phase 1",6
"Wind Onshore","WPO UK Services Ltd","Dummuies Windfarm",12.25
"Wind Onshore","WPO UK Services Ltd","FMC Technologies",1.5
"Wind Onshore","WPO UK Services Ltd","Lairg Wind Farm",7.5
"Wind Onshore","WPO UK Services Ltd","Middle Balbeggie Wind Turbines",6.4
"Wind Onshore","WPO UK Services Ltd","Mossmorran Wind Farm",4.6
"Wind Onshore","WPO UK Services Ltd","Newton of Fortrie",6.9
"Wind Onshore","WPO UK Services Ltd","Strath of Brydock",6.9
