"Old Ref ID"	"Ref ID"	"Record Last Updated (dd/mm/yyyy)"	"Operator (or Applicant)"	"Site Name"	"Technology Type"	"Storage Type"	"Storage Co-location REPD Ref ID"	"Installed Capacity (MWelec)"	"CHP Enabled"	"RO Banding (ROC/MWh)"	"FiT Tariff (p/kWh)"	"CfD Capacity (MW)"	"Turbine Capacity (MW)"	"No. of Turbines"	"Height of Turbines (m)"	"Mounting Type for Solar"	"Development Status"	"Development Status (short)"	"Address"	"County"	"Region"	"Country"	"Post Code"	"X-coordinate"	"Y-coordinate"	"Planning Authority"	"Planning Application Reference"	"Appeal Reference"	"Secretary of State Reference"	"Type of Secretary of State Intervention"	"Judicial Review"	"Offshore Wind Round"	"Planning Application Submitted"	"Planning Application Withdrawn"	"Planning Permission Refused"	"Appeal Lodged"	"Appeal Withdrawn"	"Appeal Refused"	"Appeal Granted"	"Planning Permission Granted"	"Secretary of State - Intervened"	"Secretary of State - Refusal"	"Secretary of State - Granted"	"Planning Permission Expired"	"Under Construction"	"Operational"	"Sites"
"N00116W"	3151	2004-08-17	"West Coast Windfarms Ltd"	"Monashee"	"Wind Onshore"	NA	NA	15	"n/a"	NA	NA	NA	"0"	"0"	NA	"n/a"	"Planning Application Withdrawn"	"Application Withdrawn"	"Drake Myre
Grantshouse"	"Borders"	"Scotland"	"Scotland"	NA	380651	665727	"Scottish Borders Council"	"02/01319FUL"	NA	NA	NA	NA	NA	2002-08-14	2004-03-30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"N00137W"	3166	2005-10-18	"Orkney Sustainable Energy"	"Hill of Garvock Wind Energy Project"	"Wind Onshore"	NA	NA	15	"n/a"	NA	NA	NA	"2.5"	"6"	NA	"n/a"	"Planning Application Withdrawn"	"Application Withdrawn"	"East Bradieston Farm
Laruencekirk"	"Grampian"	"Scotland"	"Scotland"	NA	370000	770000	"Aberdeenshire Council"	"SO 30676PF"	NA	NA	NA	NA	NA	NA	2005-10-18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"N00147W"	3170	2011-06-29	"AMEC"	"Minch Moor"	"Wind Onshore"	NA	NA	21.6	"n/a"	NA	NA	NA	"1.8"	"12"	NA	"n/a"	"Planning Permission Refused"	"Application Refused"	"Walkerburn
Scottish Borders"	"Borders"	"Scotland"	"Scotland"	NA	336300	633500	"Scottish Borders Council"	"03/00627/FUL"	NA	NA	NA	NA	NA	2003-04-11	NA	2010-08-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"N00166W"	3180	2015-11-24	"Scottish Power Renewables"	"Clatto"	"Wind Onshore"	NA	NA	30	"n/a"	NA	NA	NA	"0"	"0"	NA	"n/a"	"Planning Permission Refused"	"Application Refused"	"Kennoway
Fife"	"Fife"	"Scotland"	"Scotland"	NA	335000	705000	"Fife Council"	"03/03397/EEIA"	"P/PPA/250/507"	NA	NA	NA	NA	2003-09-24	NA	2004-11-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"N00172W"	3182	2006-05-09	"Scotrenewables"	"Hill of Lieurary"	"Wind Onshore"	NA	NA	8	"n/a"	NA	NA	NA	"0"	"3"	NA	"n/a"	"Planning Permission Refused"	"Application Refused"	"Hill of Lieurary
Westfield
Thurso
Caithness"	"Highland"	"Scotland"	"Scotland"	NA	308500	961500	"Highland Council"	"CA2003323"	"P/PPA/270/369"	NA	NA	NA	NA	2003-07-10	NA	2005-09-16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"N00173W"	3183	2009-05-06	"Renewable Development Company (RDC)"	"Strathbora"	"Wind Onshore"	NA	NA	46	"n/a"	NA	NA	NA	"0"	"19"	NA	"n/a"	"Planning Application Withdrawn"	"Application Withdrawn"	"Strath Brora
Rogart
Sutherland"	"Highland"	"Scotland"	"Scotland"	NA	272100	911100	"Highland Council"	"SU2003332"	NA	NA	NA	NA	NA	NA	2009-05-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"N00180W"	3187	2004-09-09	"Glen Devon Energy Ltd"	"Balado Windfarm"	"Wind Onshore"	NA	NA	5.5814	"n/a"	NA	NA	NA	"0"	"0"	NA	"n/a"	"Planning Permission Refused"	"Application Refused"	"Balado
Kinross"	"Tayside"	"Scotland"	"Scotland"	NA	309500	702500	"Perth and Kinross Council"	"02-01464-FUL"	"P/PPA/340/283"	NA	NA	NA	NA	2002-08-30	NA	2004-01-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"N00186W"	3190	2010-10-28	"West Coast Energy (agents for Tullo Wind Ltd and GE Wind)"	"Tullo Farm"	"Wind Onshore"	NA	NA	17.5	"n/a"	NA	NA	NA	"2.5"	"7"	NA	"n/a"	"Operational"	"Operational"	"Tullo Farm, Laurencekirk, Aberdeenshire
Garvock
Laurencekirk"	"Grampian"	"Scotland"	"Scotland"	NA	387283	785873	"Aberdeenshire Council"	"APP/2003/0756"	NA	NA	NA	NA	NA	2003-10-13	NA	NA	NA	NA	NA	NA	2004-06-30	NA	NA	NA	NA	2010-04-01	2010-09-07	1
"N00211W"	3200	2015-06-04	"Tetro Energy Ltd (ECO2)"	"Dummuie"	"Wind Onshore"	NA	NA	12.25	"n/a"	NA	NA	NA	"1.75"	"7"	NA	"n/a"	"Operational"	"Operational"	"East Dummuie
Huntly"	"Grampian"	"Scotland"	"Scotland"	NA	358600	840300	"Aberdeenshire Council"	"APP/2003/0084"	NA	NA	NA	NA	NA	2003-08-20	NA	2004-02-20	NA	NA	NA	NA	NA	NA	NA	NA	NA	2006-06-01	2007-01-01	1
"N00213W"	3201	2016-06-27	"Falck Renewables"	"Earlsburn"	"Wind Onshore"	NA	NA	37.5	"n/a"	NA	NA	NA	"2.5"	"14"	NA	"n/a"	"Operational"	"Operational"	"Hart Hill, Fintry, Stirling"	"Stirling"	"Scotland"	"Scotland"	NA	269652	688422	"Stirling Council"	"03/00936/DET"	NA	NA	NA	NA	NA	2003-11-17	NA	NA	NA	NA	NA	NA	2004-07-01	NA	NA	NA	NA	2006-07-01	2007-02-01	1
"N00215W"	3202	2009-10-23	"Renewable Development Company (RDC)"	"Kilbraur Windfarm"	"Wind Onshore"	NA	NA	47.5	"n/a"	NA	NA	NA	"2.5"	"19"	NA	"n/a"	"Operational"	"Operational"	"Rogart, Sutherland
(former Strath Brora Site)"	"Highland"	"Scotland"	"Scotland"	NA	278550	907550	"Highland Council"	"SU2004125"	NA	NA	NA	NA	NA	2003-09-04	NA	NA	NA	NA	NA	NA	2006-04-01	NA	NA	NA	NA	2007-09-01	2008-06-14	1
"N00218W"	3203	2009-03-20	"Private Developer"	"South Shebster"	"Wind Onshore"	NA	NA	10	"n/a"	NA	NA	NA	"2"	"5"	NA	"n/a"	"Planning Permission Refused"	"Application Refused"	"South Shebster
Caithness"	"Highland"	"Scotland"	"Scotland"	NA	301750	962750	"Highland Council"	NA	NA	NA	NA	NA	NA	2005-12-19	NA	2009-01-20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"N00222W"	3205	2011-08-08	"Scottish and Southern Energy (SSE)"	"Achany Wind Farm"	"Wind Onshore"	NA	NA	38	"n/a"	NA	NA	NA	"2"	"19"	NA	"n/a"	"Operational"	"Operational"	"Albany Estate, Achany, Lairg, Highlands, IV27 4"	"Highland"	"Scotland"	"Scotland"	NA	252350	904150	"Highland Council"	NA	NA	NA	NA	NA	NA	2005-10-28	NA	2006-08-01	NA	NA	NA	2007-09-14	2007-09-14	NA	NA	NA	NA	2009-04-01	2010-10-11	1
"N00224W"	3206	2008-04-16	"British Energy"	"Scoolary"	"Wind Onshore"	NA	NA	120	"n/a"	NA	NA	NA	"0"	"48"	NA	"n/a"	"Planning Application Withdrawn"	"Application Withdrawn"	"Scoolary
Caithness"	"Highland"	"Scotland"	"Scotland"	NA	329500	968500	"Scottish Government (S36)"	NA	NA	NA	NA	NA	NA	NA	2008-04-16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"N00226W"	3207	2009-10-23	"Private Developer"	"Bilbster Wind Farm"	"Wind Onshore"	NA	NA	3.9	"n/a"	NA	NA	NA	"1.3"	"3"	NA	"n/a"	"Operational"	"Operational"	"Flex Hill, Flex Hill Wind Cluster, Bilbster, Caithness"	"Highland"	"Scotland"	"Scotland"	NA	327150	951850	"Highland Council"	"CA200417"	NA	NA	NA	NA	NA	2004-01-23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2008-02-01	1
"N00240W"	3212	2010-12-07	"Hainsford Energy"	"Enyas Hill"	"Wind Onshore"	NA	NA	6	"n/a"	NA	NA	NA	"0"	"3"	NA	"n/a"	"Planning Permission Refused"	"Application Refused"	"Enyas Hill, Rendall, Orkney"	"Orkney Islands"	"Scotland"	"Scotland"	NA	340640	1020280	"Orkney Islands Council"	"04/16/350/PPS"	"P/PPA/330/32"	NA	NA	NA	NA	2004-07-01	NA	2005-01-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"N00244W"	3213	2010-07-30	"WINDJEN POWER LTD"	"Dunion Hill Wind Farm"	"Wind Onshore"	NA	NA	18.4	"n/a"	NA	NA	NA	"2.2999999999999998"	"8"	NA	"n/a"	"Planning Permission Refused"	"Application Refused"	"Land South West of Dunion Hill, Jedburgh, Scottish Borders"	"Borders"	"Scotland"	"Scotland"	NA	361570	617476	"Scottish Borders Council"	"05/02336/FUL"	"08/00011/REF"	NA	NA	NA	NA	2006-01-24	NA	2007-09-11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"N00245W"	3214	2015-01-05	"Greencoat UK Wind"	"Carcant Windfarm"	"Wind Onshore"	NA	NA	6	"n/a"	NA	NA	NA	"2"	"3"	NA	"n/a"	"Operational"	"Operational"	"Innerleithen"	"Borders"	"Scotland"	"Scotland"	NA	336250	652850	"Scottish Borders Council"	"05/01884/FUL"	NA	NA	NA	NA	NA	2005-10-10	NA	NA	NA	NA	NA	NA	2006-09-15	NA	NA	NA	NA	2010-04-01	2010-11-02	1
"N00246W"	3215	2005-11-08	"RDC Scotland Ltd"	"Sell Moor Windfarm"	"Wind Onshore"	NA	NA	47.5	"n/a"	NA	NA	NA	"0"	"0"	NA	"n/a"	"Planning Permission Refused"	"Application Refused"	"Lauder"	"Borders"	"Scotland"	"Scotland"	NA	348050	644450	"Scottish Borders Council"	"04/00350/FUL"	NA	NA	NA	NA	NA	2004-03-01	NA	2005-08-31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"N00248W"	3216	2005-06-29	"Hargreaves Resources"	"Chalmerston"	"Wind Onshore"	NA	NA	50	"n/a"	NA	NA	NA	"0"	"0"	NA	"n/a"	"Planning Application Withdrawn"	"Application Withdrawn"	"Dalmellington, East Ayrshire"	"Strathclyde"	"Scotland"	"Scotland"	NA	249750	608750	"East Ayrshire Council"	"04/0406/FL"	NA	NA	NA	NA	NA	NA	2005-06-29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"N00249W"	3217	2007-04-06	"Ecogen and Eurus Energy UK"	"Largie Windfarm II"	"Wind Onshore"	NA	NA	21	"n/a"	NA	NA	NA	"0"	"19"	NA	"n/a"	"Planning Permission Refused"	"Application Refused"	"Largie, Central Kintyre Ridge, Near Tayinloan"	"Strathclyde"	"Scotland"	"Scotland"	NA	173827	650398	"Argyll and Bute Council"	"04/01606/DET"	NA	NA	NA	NA	NA	2004-08-12	NA	2007-03-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"N00255W"	3219	2010-12-07	"British Energy Renewables Ltd"	"Knowehead"	"Wind Onshore"	NA	NA	60	"n/a"	NA	NA	NA	"0"	"0"	NA	"n/a"	"Planning Permission Refused"	"Application Refused"	"Near Dunning, Perthshire"	"Tayside"	"Scotland"	"Scotland"	NA	316500	723500	"Scottish Government (S36)"	"04/01664/FUL"	"P/PPA/340/486"	NA	NA	NA	NA	2004-08-09	NA	2005-07-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"N00256W"	3220	2009-09-04	"Scottish Power Renewables"	"Hagshaw Hill Wind Farm Extension"	"Wind Onshore"	NA	NA	26	"n/a"	NA	NA	NA	"1.3"	"20"	NA	"n/a"	"Operational"	"Operational"	"Extension to current Windfarm at Hagshaw Hill"	"Strathclyde"	"Scotland"	"Scotland"	NA	279000	632000	"South Lanarkshire Council"	NA	NA	NA	NA	NA	NA	2005-01-10	NA	NA	NA	NA	NA	NA	2005-12-28	NA	NA	NA	NA	NA	2008-10-01	1
"N00262W"	3222	2006-05-26	"Hargreaves Resources"	"Spireslack Windfarm"	"Wind Onshore"	NA	NA	59.6	"n/a"	NA	NA	NA	"0"	"0"	NA	"n/a"	"Planning Application Withdrawn"	"Application Withdrawn"	"West of Hagshaw Hill"	"Strathclyde"	"Scotland"	"Scotland"	NA	276500	630500	"Scottish Government (S36)"	NA	NA	NA	NA	NA	NA	NA	2006-05-26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"N00269W"	3227	2010-01-11	"Catamount Energy Ltd c/o Force 9"	"Abercairney"	"Wind Onshore"	NA	NA	66	"n/a"	NA	NA	NA	"2.75"	"24"	NA	"n/a"	"Appeal Refused"	"Application Refused"	"Nr Crieff, Gilmerton"	"Tayside"	"Scotland"	"Scotland"	NA	283880	727080	"Scottish Government (S36)"	NA	NA	NA	NA	NA	NA	2004-01-09	NA	2006-10-05	NA	NA	2006-09-09	NA	NA	NA	NA	NA	NA	NA	NA	1
"N00271W"	3228	2009-04-17	"RWE npower"	"Lochelbank Wind Farm"	"Wind Onshore"	NA	NA	51	"n/a"	NA	NA	NA	"0"	"0"	NA	"n/a"	"Planning Application Withdrawn"	"Application Withdrawn"	"North of Glenfarg"	"Tayside"	"Scotland"	"Scotland"	NA	311440	713477	"Perth and Kinross Council"	NA	NA	NA	NA	NA	NA	NA	2009-04-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"N00290W"	3231	2010-07-06	"Wind Prospect & Ridgewind"	"Montreathmont Moor"	"Wind Onshore"	NA	NA	38	"n/a"	NA	NA	NA	"2"	"11"	NA	"n/a"	"Appeal Refused"	"Application Refused"	"Nr Friockheim"	"Tayside"	"Scotland"	"Scotland"	NA	359200	753700	"Angus Council"	"07/01632/FUL"	"947/08"	NA	NA	NA	NA	2005-02-07	NA	2008-06-09	NA	NA	2009-05-26	NA	NA	NA	NA	NA	NA	NA	NA	1
"N00291W"	3232	2010-04-06	"Your Energy"	"Pates Hill"	"Wind Onshore"	NA	NA	14	"n/a"	NA	NA	NA	"2"	"7"	NA	"n/a"	"Operational"	"Operational"	"West Calder Lothian, EH55"	"Lothian"	"Scotland"	"Scotland"	NA	299130	659300	"West Lothian Council"	"0653/FUL/07"	NA	NA	NA	NA	NA	2005-07-21	NA	NA	NA	NA	NA	NA	2006-06-01	NA	NA	NA	NA	2009-06-01	2010-01-20	1
"N00299W"	3235	2010-06-09	"AMEC"	"Kyle Windfarm"	"Wind Onshore"	NA	NA	255	"n/a"	NA	NA	NA	"3"	"85"	NA	"n/a"	"Planning Permission Refused"	"Application Refused"	"Kyle forest, B714 road between New Cumnock and Dalmellington"	"Strathclyde"	"Scotland"	"Scotland"	NA	249500	611500	"Scottish Government (S36)"	"IEC3/73"	NA	NA	NA	NA	NA	2004-10-29	NA	2008-10-24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"N00309W"	3236	2009-10-23	"A7 Energy"	"Greendykeside"	"Wind Onshore"	NA	NA	4	"n/a"	NA	NA	NA	"2"	"2"	NA	"n/a"	"Operational"	"Operational"	"Greendykeside Farm, Longriggend, Airdrie, Lanarkshire"	"Strathclyde"	"Scotland"	"Scotland"	"ML6 7TT"	281134	670403	"North Lanarkshire Council"	"04/01624/FUL"	NA	NA	NA	NA	NA	2004-09-13	NA	NA	NA	NA	NA	NA	2005-05-11	NA	NA	NA	NA	NA	2007-11-01	1
"N00310W"	3237	2009-07-24	"Salsburgh Windco Ltd"	"Salsburgh"	"Wind Onshore"	NA	NA	24	"n/a"	NA	NA	NA	"0"	"10"	NA	"n/a"	"Planning Application Withdrawn"	"Application Withdrawn"	"Jersay Farm
South of Salsburgh"	"Strathclyde"	"Scotland"	"Scotland"	NA	282515	661635	"North Lanarkshire Council"	"05/00132/FUL"	NA	NA	NA	NA	NA	NA	2009-07-24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"N00363W"	3256	2012-01-30	"Green Power"	"Broadmeadows"	"Wind Onshore"	NA	NA	36	"n/a"	NA	NA	NA	"3"	"12"	NA	"n/a"	"Appeal Refused"	"Application Refused"	"Selkirk"	"Borders"	"Scotland"	"Scotland"	NA	341000	631500	"Scottish Borders Council"	"04/02501/FUL"	"11/00028/REF"	NA	NA	NA	NA	2004-12-23	NA	2011-06-13	NA	NA	2012-01-25	NA	NA	NA	NA	NA	NA	NA	NA	1
"N00366W"	3258	2011-10-25	"Scottish Power Renewables"	"Arecleoch Windfarm"	"Wind Onshore"	NA	NA	120	"n/a"	NA	NA	NA	"2"	"60"	NA	"n/a"	"Operational"	"Operational"	"Arecleoch and Kilgallioch Forest near Barrhill"	"South Ayrshire"	"Scotland"	"Scotland"	NA	221500	578500	"Scottish Government (S36)"	NA	NA	NA	NA	NA	NA	2006-04-03	NA	NA	NA	NA	NA	NA	2008-06-01	NA	NA	NA	NA	2009-09-01	2011-06-14	1
"N00367W"	3259	2006-05-10	"West Coast Energy (for RDC/Falk)"	"Limmer Hill"	"Wind Onshore"	NA	NA	99	"n/a"	NA	NA	NA	"3"	"33"	NA	"n/a"	"Planning Application Withdrawn"	"Application Withdrawn"	"Limmer Hill,
Near Rigside
Nr Abington"	"Strathclyde"	"Scotland"	"Scotland"	NA	289000	630000	"Scottish Government (S36)"	"CL/05/0563"	NA	NA	NA	NA	NA	NA	2006-05-10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"N00368W"	3260	2011-08-16	"Force 9 Energy"	"Mark Hill"	"Wind Onshore"	NA	NA	56	"n/a"	NA	NA	NA	"2.2999999999999998"	"24"	NA	"n/a"	"Operational"	"Operational"	"Mark's Hill, Barrhill"	"Strathclyde"	"Scotland"	"Scotland"	NA	225000	585000	"Scottish Government (S36)"	NA	NA	NA	NA	NA	NA	2005-08-19	NA	NA	NA	NA	NA	NA	2008-06-01	NA	NA	NA	NA	2009-10-01	2011-06-01	1
"N00388W"	3265	2007-11-16	"Private Developer"	"Clochnahill Windfarm"	"Wind Onshore"	NA	NA	6	"n/a"	NA	NA	NA	"2"	"3"	NA	"n/a"	"Planning Permission Refused"	"Application Refused"	"Clochnahill Farm
Temple of Fiddes
Mearns
Aberdeenshire"	"Grampian"	"Scotland"	"Scotland"	NA	381637	782918	"Aberdeenshire Council"	"ENQ/2005/0667"	NA	NA	NA	NA	NA	2006-05-08	NA	2007-03-20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"N00404W"	3268	2009-10-05	"E.On"	"Auchencorth Moss"	"Wind Onshore"	NA	NA	45	"n/a"	NA	NA	NA	"2"	"18"	NA	"n/a"	"Planning Permission Refused"	"Application Refused"	"Auchencorth Moss
Penicuik
Midlothian"	"Lothian"	"Scotland"	"Scotland"	NA	321080	656760	"Midlothian Council"	"06/00067/FUL"	NA	NA	NA	NA	NA	2006-01-27	NA	2008-02-12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"N00409W"	3271	2005-12-13	"Lomond Energy"	"Tillyrie"	"Wind Onshore"	NA	NA	4.186	"n/a"	NA	NA	NA	"0"	"0"	NA	"n/a"	"Planning Permission Refused"	"Application Refused"	"Land At Tillyrie Farm
Milnathort
Kinross
KY13 0RW"	"Tayside"	"Scotland"	"Scotland"	NA	310500	708500	"Perth and Kinross Council"	"500517"	NA	NA	NA	NA	NA	2005-03-18	NA	2005-12-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"N00424W"	3273	2006-05-26	"RWE npower"	"Snowgoat Glen Wind Farm II"	"Wind Onshore"	NA	NA	13	"n/a"	NA	NA	NA	"0"	"10"	NA	"n/a"	"Planning Permission Refused"	"Application Refused"	"Near Dunning
Perth and Kinross"	"Tayside"	"Scotland"	"Scotland"	NA	300500	710500	"Perth and Kinross Council"	"05/01043"	NA	NA	NA	NA	NA	2005-06-01	NA	2005-11-30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"N00429W"	3274	2010-06-09	"Airtricity"	"Invercassley Windfarm"	"Wind Onshore"	NA	NA	55	"n/a"	NA	NA	NA	"2"	"23"	NA	"n/a"	"Appeal Refused"	"Application Refused"	"Invercassley
Near Lairg
Sutherland
Highland"	"Highland"	"Scotland"	"Scotland"	NA	242193	905694	"Scottish Government (S36)"	"05/00400/FULSU"	NA	NA	NA	NA	NA	2005-10-28	NA	2006-12-13	NA	NA	2007-12-28	NA	NA	NA	NA	NA	NA	NA	NA	1
"N00450W"	3278	2011-02-09	"Renewable Energy Systems (RES)"	"Careston Estate"	"Wind Onshore"	NA	NA	52	"n/a"	NA	NA	NA	"2"	"26"	NA	"n/a"	"Planning Application Withdrawn"	"Application Withdrawn"	"Careston Estate, Angus"	"Tayside"	"Scotland"	"Scotland"	NA	353500	760500	"Scottish Government (S36)"	NA	NA	NA	NA	NA	NA	NA	2011-02-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"N00451W"	3279	2011-10-31	"Scottish and Southern Energy (SSE)"	"Waterhead Moor"	"Wind Onshore"	NA	NA	72.5	"n/a"	NA	NA	NA	"2.5"	"29"	NA	"n/a"	"Planning Application Withdrawn"	"Application Withdrawn"	"North of Largs, Ayreshire"	"Strathclyde"	"Scotland"	"Scotland"	NA	226029	665781	"Scottish Government (S36)"	NA	NA	NA	NA	NA	NA	NA	2011-10-31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"N00535W"	3283	2006-05-26	"RWE npower"	"Snowgoat Glen Wind Farm"	"Wind Onshore"	NA	NA	23.488	"n/a"	NA	NA	NA	"0"	"0"	NA	"n/a"	"Planning Application Withdrawn"	"Application Withdrawn"	"Near Dunning
Perth and Kinross"	"Tayside"	"Scotland"	"Scotland"	NA	300500	710500	"Perth and Kinross Council"	"04/01049/FUL"	NA	NA	NA	NA	NA	NA	2006-05-26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"N00536W"	3284	2006-05-02	"Scottish and Southern Energy (SSE)"	"Broubster Forest"	"Wind Onshore"	NA	NA	116	"n/a"	NA	NA	NA	"0"	"0"	NA	"n/a"	"Planning Application Withdrawn"	"Application Withdrawn"	"Nr Reay"	"Highland"	"Scotland"	"Scotland"	NA	301550	959550	"Scottish Government (S36)"	NA	NA	NA	NA	NA	NA	NA	2006-05-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"N00537W"	3285	2010-06-09	"Messrs James and Ronald Innes"	"Achairn"	"Wind Onshore"	NA	NA	6.15	"n/a"	NA	NA	NA	"2.0499999999999998"	"3"	NA	"n/a"	"Operational"	"Operational"	"West of Wick, Caithness"	"Highland"	"Scotland"	"Scotland"	NA	329950	950650	"Highland Council"	"CA2004366"	NA	NA	NA	NA	NA	2004-08-11	NA	NA	NA	NA	NA	NA	2006-03-01	NA	NA	NA	NA	2009-04-01	2009-05-20	1
"N00540W"	3287	2006-05-09	"Orkney Sustainable Energy"	"Hill of Garvock Wind Energy Project (2)"	"Wind Onshore"	NA	NA	15	"n/a"	NA	NA	NA	"2.5"	"6"	NA	"n/a"	"Planning Permission Refused"	"Application Refused"	"East Bradieston Farm
Laruencekirk"	"Grampian"	"Scotland"	"Scotland"	NA	370000	770000	"Aberdeenshire Council"	"APP2004/1412"	"P/PPA/110/504"	NA	NA	NA	NA	2004-04-22	NA	2004-10-26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"N00541W"	3288	2008-06-11	"Scottish and Southern Energy (SSE)"	"Muckla Moor"	"Wind Onshore"	NA	NA	249	"n/a"	NA	NA	NA	"0"	"83"	NA	"n/a"	"Planning Application Withdrawn"	"Application Withdrawn"	"4km NW of Herra"	"Shetland Islands"	"Scotland"	"Scotland"	NA	443750	1167550	"Scottish Government (S36)"	NA	NA	NA	NA	NA	NA	NA	2008-06-11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"S0001W2"	3292	2013-07-30	"CRE Energy/ Scottish Power"	"Beinn an Tuirc"	"Wind Onshore"	NA	NA	30	"n/a"	NA	NA	NA	"0.37"	"46"	NA	"n/a"	"Operational"	"Operational"	"Nr. Carradale"	"Strathclyde"	"Scotland"	"Scotland"	NA	173950	636900	"Argyll and Bute Council"	NA	NA	NA	NA	NA	NA	1998-04-20	NA	NA	NA	NA	NA	NA	1999-04-28	NA	NA	NA	NA	NA	2001-12-23	1
"S0002W1"	3293	2004-08-06	"Micon Wind Turbines (UK) Ltd"	"West Garty Wind Farm"	"Wind Onshore"	NA	NA	12	"n/a"	NA	NA	NA	"0"	"16"	NA	"n/a"	"Planning Permission Refused"	"Application Refused"	"West Garty Estate
Near Helmsdale
Sutherland"	"Highland"	"Scotland"	"Scotland"	NA	297000	914000	"Highland Council"	NA	NA	NA	NA	NA	NA	1995-10-09	NA	1999-07-19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"S0002W2"	3294	2010-02-03	"CRE Energy/ Scottish Power"	"Cnoc Donn Arnicle"	"Wind Onshore"	NA	NA	15	"n/a"	NA	NA	NA	"0.56999999999999995"	"26"	NA	"n/a"	"Operational"	"Operational"	"Situated next to Beinn an Tuirc
Kintyre"	"Strathclyde"	"Scotland"	"Scotland"	NA	175200	637600	"Argyll and Bute Council"	NA	NA	NA	NA	NA	NA	1998-04-20	NA	NA	NA	NA	NA	NA	1999-04-28	NA	NA	NA	NA	NA	2001-10-01	1
"S0003W1"	3295	2006-04-27	"RWE npower"	"Beinn Ghlas Wind Farm"	"Wind Onshore"	NA	NA	7.837	"n/a"	NA	NA	NA	"0.55000000000000004"	"14"	NA	"n/a"	"Operational"	"Operational"	"Land at Carn Gaibhre, Argyle and Bute"	"Strathclyde"	"Scotland"	"Scotland"	NA	196500	726000	"Argyll and Bute Council"	NA	NA	NA	NA	NA	NA	1997-05-07	NA	NA	NA	NA	NA	NA	1998-08-21	NA	NA	NA	NA	NA	1999-06-25	1
"S0004W1"	3296	2011-04-11	"RWE npower"	"Bendealt Wind Farm, Highland"	"Wind Onshore"	NA	NA	9	"n/a"	NA	NA	NA	"0.5"	"18"	NA	"n/a"	"Operational"	"Operational"	"Novar Estate"	"Highland"	"Scotland"	"Scotland"	NA	255500	871000	"Highland Council"	NA	NA	NA	NA	NA	NA	1995-05-17	NA	NA	NA	NA	NA	NA	1996-08-27	NA	NA	NA	NA	NA	1997-09-01	1
"S0005W1"	3297	2009-12-03	"RWE npower"	"Meall an Tuirc Wind Farm"	"Wind Onshore"	NA	NA	17	"n/a"	NA	NA	NA	"0"	"34"	NA	"n/a"	"Operational"	"Operational"	"Novar Estate"	"Highland"	"Scotland"	"Scotland"	NA	255500	871500	"Highland Council"	NA	NA	NA	NA	NA	NA	1995-05-17	NA	NA	NA	NA	NA	NA	1996-08-27	NA	NA	NA	NA	NA	1997-09-01	1
